Общее время (s);Пройденное время цикла (s);Всего циклов;Пройденным циклам;Шаг;Общее количество циклов(8800 (0,1) Форма волны);Общее количество циклов(8800 (0,2) Форма волны);Положение(8800 (0,1):Положение) (mm);Нагрузка(8800 (0,1):Нагрузка) (kN);Вращение(8800 (0,2):Вращение) (deg);Крутящий момент(8800 (0,2):Крутящий момент) (N·m);Напряжение(8800 (0,1):Нагрузка) (MPa);Напряжение сдвига(8800 (0,2):Крутящий момент) (MPa)
0,2575;0,2575;1;1;1;1;1;-67,4829733542833;0,000110417604446411;-43,2221487164497;49,0545444190502;0,000934317180964724;45,5291217168225
0,2625;0,2625;1;1;1;1;1;-67,4822089246834;0,00150680541992188;-43,1972122192383;50,3309145569801;0,0127500881699262;46,7137624479463
0,2675;0,2675;1;1;1;1;1;-67,4821061066671;-0,00283882021903992;-43,1743544340134;51,5456609427929;-0,0240211560250458;47,8412081659675
0,2725;0,2725;1;1;1;1;1;-67,4822446874717;-0,0019720196723938;-43,1468027830124;52,7360662817955;-0,0166865770214402;48,9460621649938
0,2775;0,2775;1;1;1;1;1;-67,4824994973384;-0,000710487365722656;-43,1234648823738;53,9359077811241;-0,0060119086624019;50,0596741720113
0,2825;0,2825;1;1;1;1;1;-67,4827721885991;-0,00117301940917969;-43,10332685709;55,1546551287174;-0,00992570155000582;51,1908333130813
0,2875;0,2875;1;1;1;1;1;-67,4824950269898;-0,00299468636512756;-43,0789992213249;56,3430711627007;-0,0253400437055979;52,2938409732734
0,2925;0,2925;1;1;1;1;1;-67,4821731618952;-0,00168457627296448;-43,0514717102051;57,5741715729237;-0,0142543262224105;53,4364653944454
0,2975;0,2975;1;1;1;1;1;-67,4824503235045;-0,00204712152481079;-43,0286702513695;58,797437697649;-0,0173220640109222;54,5718185598711
0,3025;0,3025;1;1;1;1;1;-67,4823430351396;-0,00274062156677246;-43,0129739642143;59,9471740424633;-0,0231902315685603;55,6389263396954
0,3075;0,3075;1;1;1;1;1;-67,4820792845759;-0,00288993120193481;-42,9840329289436;61,119481921196;-0,0244536402262211;56,7269834959185
0,3125;0,3125;1;1;1;1;1;-67,4823430351396;-0,00196084380149841;-42,9592627286911;62,4139942228794;-0,0165920105051482;57,9284625606059
0,3175;0,3175;1;1;1;1;1;-67,4829018287067;-0,000944286584854126;-42,9369816184044;63,5778680443764;-0,00799024018323004;59,0086917933818
0,325;0,325;1;1;1;1;1;-67,4827900699932;-0,00283241271972656;-42,9012250900269;65,2328059077263;-0,0239669378890384;60,5446935707212
0,33;0,33;1;1;1;1;1;-67,4823743275793;-0,00397026538848877;-42,8787884116173;66,4830058813095;-0,0335950701344455;61,7050449192403
0,335;0,335;1;1;1;1;1;-67,4819541148168;-0,0104829668998718;-42,856043279171;67,6065981388092;-0,0887033922818736;62,7478875194035
0,34;0,34;1;1;1;1;1;-67,4822223357291;-0,00258788466453552;-42,8331989049912;68,763867020607;-0,02189782251257;63,8219864923419
0,345;0,345;1;1;1;1;1;-67,4825576118693;-0,00243052840232849;-42,810292840004;69,9836015701294;-0,020566325963179;64,9540618877023
0,35;0,35;1;1;1;1;1;-67,4819049409829;-0,00830516219139099;-42,7896746993065;71,137934923172;-0,0702755304737772;66,0254363007129
0,355;0,355;1;1;1;1;1;-67,4819407037712;-0,00286594033241272;-42,7664494514465;72,2787603735924;-0,0242506374379144;67,0842735889799
0,36;0,36;1;1;1;1;1;-67,4826783112798;0,000397861003875732;-42,7398258447647;73,5186561942101;0,00336656797999435;68,2350613172451
0,365;0,365;1;1;1;1;1;-67,482696192674;-0,00314489006996155;-42,7187758684158;74,7358724474907;-0,0266110176845621;69,364799399774
0,3725;0,3725;1;1;1;1;1;-67,4817171863444;-0,00483483076095581;-42,6815146207809;76,4045789837837;-0,0409107358347928;70,9135803312923
0,3775;0,3775;1;1;1;1;1;-67,4812790921878;-0,00309661030769348;-42,6600220799446;77,6241049170494;-0,0262024903341808;72,0454621031045
0,3825;0,3825;1;1;1;1;1;-67,4817931822695;-0,00541538000106812;-42,6366144418716;78,7747353315353;-0,04582315113444;73,1133996981352
0,3875;0,3875;1;1;1;1;1;-67,4821955136378;-0,00307843089103699;-42,613979279995;79,9046605825424;-0,0260486621343458;74,1621201560106
0,3925;0,3925;1;1;1;1;1;-67,4819183520285;-0,000739693641662598;-42,5886780023575;81,0856446623802;-0,00625904249164493;75,2582299772993
0,3975;0,3975;1;1;1;1;1;-67,4817440084356;-0,00112563371658325;-42,5725498795509;82,2656601667404;-0,00952473952092784;76,3534408321144
0,4025;0,4025;1;1;1;1;1;-67,481971996211;-0,0110949575901031;-42,5523179769516;83,3522081375122;-0,0938818547140222;77,3619014222248
0,4075;0,4075;1;1;1;1;1;-67,4818512968005;-0,0113306939601898;-42,5265714526176;84,6246108412743;-0,095876577764341;78,5428598483701
