Общее время (s);Пройденное время цикла (s);Всего циклов;Пройденным циклам;Шаг;Общее количество циклов(8800 (0,1) Форма волны);Общее количество циклов(8800 (0,2) Форма волны);Положение(8800 (0,1):Положение) (mm);Нагрузка(8800 (0,1):Нагрузка) (kN);Вращение(8800 (0,2):Вращение) (deg);Крутящий момент(8800 (0,2):Крутящий момент) (N·m);Напряжение(8800 (0,1):Нагрузка) (MPa);Напряжение сдвига(8800 (0,2):Крутящий момент) (MPa);;;;
149.52;29.52;5;5;1;1;1;-53.3681876;32.55685568;-43.95584822;-2.108781599;290.790065;-2.058368718;7.975723168;-0.003266931;-5.69898E-05;
149.6225;29.6225;5;5;1;1;1;-53.36323892;32.67043829;-43.95337254;-2.104021609;291.8045578;-2.053722521;7.980671844;-0.000791252;-1.38029E-05;
149.7425;29.7425;5;5;1;1;1;-53.35724865;32.76697159;-43.95374268;-2.108296379;292.6667702;-2.057895099;7.986662111;-0.001161397;-2.02599E-05;
149.7725;29.7725;5;5;1;1;1;-53.35550522;32.59569168;-43.95614058;-2.13436503;291.1369389;-2.083340547;7.988405547;-0.003559291;-6.20899E-05;
149.775;29.775;5;5;1;1;1;-53.35439657;32.39821434;-43.95475119;-2.125730738;289.3731184;-2.074912669;7.989514194;-0.002169907;-3.78528E-05;
149.7775;29.7775;5;5;1;1;1;-53.35236256;32.09528208;-43.95331621;-2.092085779;286.6673998;-2.042072031;7.991548202;-0.000734925;-1.28204E-05;
149.78;29.78;5;5;1;1;1;-53.35049396;31.87475443;-43.9526242;-2.101447433;284.6976994;-2.051209884;7.993416808;-4.29153E-05;-7.48634E-07;
149.7925;29.7925;5;5;1;1;1;-53.3488444;31.82727814;-43.9559716;-2.152883448;284.2736525;-2.101416261;7.995066367;-0.003390312;-5.91421E-05;
149.7975;29.7975;5;5;1;1;1;-53.34801291;31.8380332;-43.95392239;-2.078568563;284.3697142;-2.02887796;7.995897851;-0.001341105;-2.33948E-05;
149.8575;29.8575;5;5;1;1;1;-53.34401195;31.95498466;-43.95586163;-2.078280784;285.4142968;-2.028597061;7.999898813;-0.003280342;-5.72237E-05;
149.935;29.935;5;5;1;1;1;-53.34162478;32.06729889;-43.95244181;-2.106388099;286.4174606;-2.056032438;8.002285979;0.000139475;2.43306E-06;
150;30;5;5;1;1;1;-53.33886658;32.14807749;-43.95489603;-2.084553242;287.1389558;-2.034719568;8.005044184;-0.002314746;-4.03795E-05;
150.08;0.08;6;6;1;1;1;-53.33529477;32.26207495;-43.95460635;-2.104324289;288.1571539;-2.054017965;8.008615993;-0.002025068;-3.53262E-05;
150.1125;0.1125;6;6;1;1;1;-53.3346421;32.30899572;-43.94985884;-2.125723287;288.576239;-2.074905396;8.009268664;0.002722442;4.74915E-05;
150.1575;0.1575;6;6;1;1;1;-53.33241587;32.37496376;-43.95437568;-2.128773369;289.1654498;-2.077882562;8.011494897;-0.001794398;-3.13023E-05;
150.2375;0.2375;6;6;1;1;1;-53.32922404;32.48754025;-43.95404845;-2.135830931;290.1709561;-2.084771405;8.014686726;-0.001467168;-2.55939E-05;
150.325;0.325;6;6;1;1;1;-53.32570587;32.59975433;-43.95562291;-2.123737708;291.1732256;-2.072967284;8.018204891;-0.003041625;-5.30595E-05;
150.4375;0.4375;6;6;1;1;1;-53.32022523;32.73613214;-43.95726174;-2.140735276;292.3913196;-2.089558506;8.023685538;-0.004680455;-8.16479E-05;
150.4925;0.4925;6;6;1;1;1;-53.31608568;32.44999409;-43.95625859;-2.113467082;289.8356028;-2.06294219;8.027825081;-0.003677309;-6.41486E-05;
150.495;0.495;6;6;1;1;1;-53.31444059;32.22243071;-43.95576507;-2.095710486;287.803061;-2.045610086;8.029470169;-0.003183782;-5.55393E-05;
150.4975;0.4975;6;6;1;1;1;-53.31254964;32.01161385;-43.9552179;-2.067080699;285.9200951;-2.017664727;8.031361126;-0.002636611;-4.59942E-05;
150.6275;0.6275;6;6;1;1;1;-53.30448066;32.12451458;-43.95554513;-2.07559485;286.9284975;-2.025975337;8.039430105;-0.002963841;-5.17026E-05;
150.745;0.745;6;6;1;1;1;-53.30069427;32.28324413;-43.9550516;-2.069464885;288.346232;-2.019991916;8.043216491;-0.002470315;-4.30933E-05;
150.83;0.83;6;6;1;1;1;-53.29691683;32.3952961;-43.95263761;-2.102952451;289.3470534;-2.052678923;8.046993935;-5.63264E-05;-9.82583E-07;
150.905;0.905;6;6;1;1;1;-53.293649;32.51088142;-43.95470828;-2.10091006;290.3794339;-2.050685358;8.05026176;-0.002126992;-3.71042E-05;
150.98;0.98;6;6;1;1;1;-53.29085504;32.62366772;-43.95427108;-2.102746628;291.3868142;-2.052478021;8.053055728;-0.001689792;-2.94775E-05;
151.0725;1.0725;6;6;1;1;1;-53.28652774;32.73774147;-43.95672798;-2.134912647;292.4056937;-2.083875074;8.057383025;-0.004146695;-7.23368E-05;
151.18;1.18;6;6;1;1;1;-53.28118567;32.8506732;-43.95420671;-2.113137394;293.414373;-2.062620383;8.062725092;-0.001625419;-2.83545E-05;
151.24;1.24;6;6;1;1;1;-53.27683602;32.55131483;-43.95488262;-2.122308128;290.7405755;-2.07157188;8.067074741;-0.002301335;-4.01455E-05;
151.2425;1.2425;6;6;1;1;1;-53.27475284;32.21399307;-43.95596087;-2.109218389;287.727698;-2.058795066;8.069157923;-0.003379583;-5.8955E-05;
151.245;1.245;6;6;1;1;1;-53.27280824;31.97989702;-43.95645171;-2.050415613;285.636808;-2.001398039;8.071102525;-0.003870428;-6.75175E-05;
151.2475;1.2475;6;6;1;1;1;-53.27169512;31.89695597;-43.95700157;-1.993062906;284.8959983;-1.945416416;8.072215642;-0.00442028;-7.71093E-05;
151.3325;1.3325;6;6;1;1;1;-53.26647823;32.11520195;-43.95472437;-2.120517194;286.8453193;-2.069823761;8.077432538;-0.002143085;-3.73849E-05;
151.4175;1.4175;6;6;1;1;1;-53.26322381;32.23073483;-43.95534933;-2.086208202;287.8772314;-2.036334965;8.080686952;-0.00276804;-4.82869E-05;
151.5025;1.5025;6;6;1;1;1;-53.25983529;32.34317541;-43.95654023;-2.056945115;288.8815239;-2.007771446;8.084075476;-0.003958941;-6.90615E-05;
151.5825;1.5825;6;6;1;1;1;-53.2562903;32.45537281;-43.95586967;-2.126018517;289.8836443;-2.075193568;8.087620463;-0.003288388;-5.73641E-05;
151.7225;1.7225;6;6;1;1;1;-53.25072919;32.64671087;-43.95362735;-2.101090737;291.5926302;-2.050861715;8.093181576;-0.001046062;-1.8248E-05;
151.8175;1.8175;6;6;1;1;1;-53.24654494;32.76245594;-43.95594746;-2.112788148;292.6264375;-2.062279486;8.097365822;-0.003366172;-5.8721E-05;
151.8975;1.8975;6;6;1;1;1;-53.24059044;32.46607304;-43.95483434;-2.097089775;289.9792161;-2.046956401;8.103320327;-0.002253056;-3.93033E-05;
151.9;1.9;6;6;1;1;1;-53.23899005;32.24476576;-43.9543891;-2.071800642;288.0025523;-2.022271834;8.104920711;-0.001807809;-3.15362E-05;
151.9025;1.9025;6;6;1;1;1;-53.23765342;32.07092285;-43.95401627;-2.072779462;286.449829;-2.023227254;8.106257346;-0.001434982;-2.50325E-05;
152.005;2.005;6;6;1;1;1;-53.23054556;32.18397617;-43.9547351;-2.112009563;287.4595943;-2.061519514;8.1133652;-0.002153814;-3.75721E-05;
152.0875;2.0875;6;6;1;1;1;-53.22774713;32.30075836;-43.9537105;-2.11023353;288.5026649;-2.05978594;8.116163638;-0.00112921;-1.96984E-05;
152.1825;2.1825;6;6;1;1;1;-53.22445248;32.41566181;-43.95905346;-2.136208117;289.5289551;-2.085139574;8.119458285;-0.00647217;-0.000112903;
152.26;2.26;6;6;1;1;1;-53.2210416;32.53045321;-43.9546144;-2.121178433;290.5542444;-2.070469192;8.122869161;-0.002033114;-3.54666E-05;
152.3475;2.3475;6;6;1;1;1;-53.21746532;32.64548063;-43.95631492;-2.108951099;291.581642;-2.058534167;8.12644544;-0.003733635;-6.51312E-05;
152.4275;2.4275;6;6;1;1;1;-53.21414833;32.75915623;-43.95726979;-2.125481144;292.5969652;-2.074669041;8.129762438;-0.004688501;-8.17883E-05;
152.6475;2.6475;6;6;1;1;1;-53.20029919;32.60051012;-43.95497918;-2.133085392;291.1799761;-2.082091501;8.143611578;-0.002397895;-4.18299E-05;
152.6575;2.6575;6;6;1;1;1;-53.19989238;32.46870518;-43.95733148;-2.125296742;290.0027258;-2.074489047;8.14401838;-0.004750192;-8.28645E-05;
152.8225;2.8225;6;6;1;1;1;-53.19006656;32.58165598;-43.95425767;-2.102578059;291.0115754;-2.052313481;8.153844206;-0.001676381;-2.92435E-05;
152.905;2.905;6;6;1;1;1;-53.1860656;32.69762993;-43.95629615;-2.14021001;292.047427;-2.089045797;8.157845168;-0.003714859;-6.48037E-05;
153.01;3.01;6;6;1;1;1;-53.18137173;32.81062365;-43.95767212;-2.147465944;293.0566599;-2.096128269;8.162539034;-0.005090833;-8.88067E-05;
153.12;3.12;6;6;1;1;1;-53.17740206;32.92587996;-43.95387143;-2.151930705;294.0861018;-2.100486295;8.166508703;-0.001290143;-2.25058E-05;
153.245;3.245;6;6;1;1;1;-53.16944931;32.71213293;-43.9560467;-2.132886089;292.1769644;-2.081896963;8.174461453;-0.003465414;-6.04522E-05;
153.2475;3.2475;6;6;1;1;1;-53.16836749;32.50226498;-43.95531982;-2.108186483;290.3024739;-2.05778783;8.175543278;-0.002738535;-4.77722E-05;
153.25;3.25;6;6;1;1;1;-53.16669111;32.31241226;-43.95517766;-2.038832754;288.6067548;-1.990092082;8.177219658;-0.002596378;-4.52924E-05;
153.2525;3.2525;6;6;1;1;1;-53.16518013;32.19655752;-43.95489335;-1.997772604;287.5719679;-1.950013523;8.178730636;-0.002312064;-4.03327E-05;
153.39;3.39;6;6;1;1;1;-53.15740172;32.37985134;-43.95685405;-2.047348768;289.2091045;-1.99840451;8.186509043;-0.004272759;-7.45359E-05;
153.4825;3.4825;6;6;1;1;1;-53.1543753;32.4939537;-43.95419866;-2.020774409;290.2282396;-1.972465443;8.189535469;-0.001617372;-2.82142E-05;
153.57;3.57;6;6;1;1;1;-53.15019105;32.60645628;-43.9557758;-2.023587935;291.2330857;-1.975211708;8.193719715;-0.003194511;-5.57265E-05;
153.65;3.65;6;6;1;1;1;-53.14708863;32.72060633;-43.95386606;-2.081873827;292.2526467;-2.032104208;8.196822137;-0.001284778;-2.24122E-05;
153.7325;3.7325;6;6;1;1;1;-53.14348553;32.83687353;-43.95296752;-2.062267624;293.2911176;-2.012966714;8.200425238;-0.000386238;-6.73771E-06;
153.8175;3.8175;6;6;1;1;1;-53.14006124;32.9497385;-43.95547271;-2.075772732;294.2992006;-2.026148967;8.203849525;-0.002891421;-5.04392E-05;
153.8875;3.8875;6;6;1;1;1;-53.13442413;32.68643141;-43.95243645;-2.078894526;291.9474045;-2.029196131;8.209486634;0.000144839;2.52664E-06;
153.89;3.89;6;6;1;1;1;-53.13266281;32.43086576;-43.95272344;-2.093011513;289.6647532;-2.042975635;8.211247951;-0.000142157;-2.47985E-06;
153.8925;3.8925;6;6;1;1;1;-53.1305081;32.19468594;-43.95359784;-2.11792998;287.5552513;-2.067298397;8.213402659;-0.001016557;-1.77333E-05;
154.02;4.02;6;6;1;1;1;-53.12302027;32.30771065;-43.9549309;-2.154619433;288.5647611;-2.103110746;8.220890493;-0.002349615;-4.09877E-05;
154.11;4.11;6;6;1;1;1;-53.11940823;32.42208004;-43.95647854;-2.12290138;289.5862812;-2.07215095;8.224502535;-0.00389725;-6.79854E-05;
154.195;4.195;6;6;1;1;1;-53.11702106;32.53833532;-43.95641685;-2.115194686;290.6246456;-2.064628493;8.226889701;-0.003835559;-6.69092E-05;
154.28;4.28;6;6;1;1;1;-53.11358784;32.65557051;-43.95580798;-2.139834687;291.6717623;-2.088679446;8.230322929;-0.003226697;-5.62879E-05;
154.3625;4.3625;6;6;1;1;1;-53.10957793;32.7714467;-43.95666093;-2.143964171;292.7067408;-2.092710211;8.234332831;-0.00407964;-7.11671E-05;
154.4475;4.4475;6;6;1;1;1;-53.10632799;32.88490295;-43.95372123;-2.145129256;293.720105;-2.093847442;8.237582775;-0.001139939;-1.98856E-05;
154.535;4.535;6;6;1;1;1;-53.1018934;32.99741745;-43.95292193;-2.158741467;294.7250576;-2.107134237;8.24201736;-0.000340641;-5.94229E-06;
154.635;4.635;6;6;1;1;1;-53.09488837;32.82234192;-43.95691305;-2.120410092;293.1613247;-2.069719219;8.249022397;-0.004331768;-7.55653E-05;
154.64;4.64;6;6;1;1;1;-53.09412841;32.59420633;-43.95769626;-2.120498568;291.1236721;-2.06980558;8.249782356;-0.005114973;-8.92279E-05;
154.645;4.645;6;6;1;1;1;-53.09289012;32.46667147;-43.95645708;-2.152872272;289.9845612;-2.101405352;8.251020642;-0.003875792;-6.7611E-05;
154.7475;4.7475;6;6;1;1;1;-53.08646176;32.58031607;-43.95575702;-2.132396214;290.9996076;-2.081418798;8.257449004;-0.003175735;-5.53989E-05;
154.84;4.84;6;6;1;1;1;-53.08225963;32.69316435;-43.95550489;-2.118580043;292.0075415;-2.06793292;8.261651131;-0.002923608;-5.10007E-05;
154.9375;4.9375;6;6;1;1;1;-53.0784956;32.80739307;-43.9566958;-2.121928148;293.0278052;-2.071200984;8.265415165;-0.004114509;-7.17753E-05;
155.0325;5.0325;6;6;1;1;1;-53.07356033;32.91937113;-43.95632029;-2.169380896;294.0279665;-2.117519318;8.270350429;-0.003738999;-6.52248E-05;
155.1525;5.1525;6;6;1;1;1;-53.06861166;33.03448439;-43.9516747;-2.164852805;295.0561306;-2.113099477;8.275299105;0.000906587;1.58149E-05;
155.335;5.335;6;6;1;1;1;-53.0576906;32.84714937;-43.95528764;-2.093315125;293.382899;-2.043271988;8.286220167;-0.002706349;-4.72108E-05;
155.3425;5.3425;6;6;1;1;1;-53.05605892;32.71253824;-43.95614862;-2.051379532;292.1805845;-2.002338914;8.287851844;-0.003567338;-6.22302E-05;
155.495;5.495;6;6;1;1;1;-53.04841909;32.82614231;-43.95445079;-2.055153251;293.1952689;-2.006022418;8.29549167;-0.0018695;-3.26124E-05;
155.595;5.595;6;6;1;1;1;-53.043609;32.94003963;-43.95833194;-2.085983753;294.2125727;-2.036115882;8.300301765;-0.005750656;-0.000100317;
155.7;5.7;6;6;1;1;1;-53.03916547;33.05575371;-43.9540109;-2.073290758;295.2461031;-2.023726327;8.304745291;-0.001429617;-2.49389E-05;
155.835;5.835;6;6;1;1;1;-53.03203527;33.16900015;-43.95192951;-2.075437456;296.2575933;-2.025821706;8.311875497;0.000651777;1.13699E-05;
155.9475;5.9475;6;6;1;1;1;-53.02461896;33.02339077;-43.95654827;-2.090925351;294.9570451;-2.040939345;8.319291805;-0.003966987;-6.92019E-05;
155.9525;5.9525;6;6;1;1;1;-53.02275929;32.66640186;-43.9542523;-2.095378935;291.7685054;-2.045286461;8.32115147;-0.001671016;-2.91499E-05;
155.955;5.955;6;6;1;1;1;-53.02109632;32.37855673;-43.9536944;-2.116996795;289.1975413;-2.066387521;8.32281444;-0.001113117;-1.94177E-05;
155.9575;5.9575;6;6;1;1;1;-53.01950041;32.1761322;-43.95439714;-2.065734006;287.3895338;-2.016350229;8.324410354;-0.001815856;-3.16766E-05;
156.04;6.04;6;6;1;1;1;-53.01379177;32.30043173;-43.95367831;-2.06592679;288.4997475;-2.016538404;8.330118989;-0.001097023;-1.9137E-05;
156.1225;6.1225;6;6;1;1;1;-53.00998751;32.41268873;-43.95545125;-2.101326361;289.5024003;-2.051091707;8.333923256;-0.002869964;-5.00649E-05;
156.2175;6.2175;6;6;1;1;1;-53.00753329;32.52942085;-43.95509988;-2.086102962;290.5450237;-2.036232241;8.336377477;-0.002518594;-4.39355E-05;
156.295;6.295;6;6;1;1;1;-53.00410006;32.64143705;-43.95400554;-2.091764472;291.5455257;-2.041758406;8.339810705;-0.001424253;-2.48453E-05;
156.3725;6.3725;6;6;1;1;1;-53.00075624;32.7547574;-43.95518303;-2.134844661;292.557676;-2.083808712;8.343154526;-0.002601743;-4.5386E-05;
156.455;6.455;6;6;1;1;1;-52.99787733;32.86996365;-43.95641685;-2.125644125;293.5866706;-2.074828126;8.34603343;-0.003835559;-6.69092E-05;
156.5425;6.5425;6;6;1;1;1;-52.99343828;32.98450232;-43.95849824;-2.127114683;294.6097027;-2.076263529;8.350472486;-0.005916953;-0.000103218;
156.6375;6.6375;6;6;1;1;1;-52.98924062;33.09891701;-43.95389557;-2.111501992;295.6316274;-2.061024077;8.354670144;-0.001314282;-2.29269E-05;
156.7625;6.7625;6;6;1;1;1;-52.98207465;32.95005083;-43.95618349;-2.086686902;294.3019903;-2.036802221;8.361836112;-0.003602207;-6.28385E-05;
156.765;6.765;6;6;1;1;1;-52.97940585;32.59555101;-43.95650804;-2.113440074;291.1356825;-2.062915827;8.36450491;-0.003926754;-6.85E-05;
156.7675;6.7675;6;6;1;1;1;-52.97647778;32.22725391;-43.95621032;-2.170572057;287.8461407;-2.118682004;8.367432989;-0.003629029;-6.33064E-05;
156.77;6.77;6;6;1;1;1;-52.97532443;32.07286596;-43.95574093;-2.095237374;286.4671844;-2.045148284;8.368586339;-0.003159642;-5.51182E-05;
156.805;6.805;6;6;1;1;1;-52.97232035;32.18578339;-43.95391971;-2.173935063;287.4757359;-2.121964613;8.371590413;-0.001338422;-2.3348E-05;
156.8725;6.8725;6;6;1;1;1;-52.96916428;32.30050564;-43.95526081;-2.109530382;288.5004076;-2.059099601;8.374746479;-0.002679527;-4.67429E-05;
156.95;6.95;6;6;1;1;1;-52.96683076;32.41267443;-43.95522594;-2.103589475;289.5022725;-2.053300718;8.377080001;-0.002644658;-4.61346E-05;
157.04;7.04;6;6;1;1;1;-52.96384457;32.5322175;-43.95462781;-2.131478861;290.5700027;-2.080523376;8.380066194;-0.002046525;-3.57005E-05;
157.1225;7.1225;6;6;1;1;1;-52.96063039;32.64754057;-43.95483166;-2.13637948;291.6000408;-2.08530684;8.383280374;-0.002250373;-3.92565E-05;
157.2;7.2;6;6;1;1;1;-52.95708093;32.76234627;-43.95418793;-2.149890177;292.6254579;-2.098494548;8.386829831;-0.001606643;-2.8027E-05;
157.2825;7.2825;6;6;1;1;1;-52.95347783;32.87857533;-43.95364076;-2.133974805;293.6635881;-2.082959652;8.390432932;-0.001059473;-1.84819E-05;
157.3775;7.3775;6;6;1;1;1;-52.94941429;32.99225092;-43.95524472;-2.140288241;294.6789114;-2.089122158;8.394496479;-0.002663434;-4.64621E-05;
157.475;7.475;6;6;1;1;1;-52.94495288;33.10637712;-43.956559;-2.156799659;295.6982594;-2.105238851;8.398957886;-0.003977716;-6.9389E-05;
157.615;7.615;6;6;1;1;1;-52.93755892;33.22058678;-43.95742536;-2.148579806;296.7183528;-2.097215503;8.406351843;-0.004844069;-8.45021E-05;
157.6825;7.6825;6;6;1;1;1;-52.93285611;32.98051834;-43.95686477;-2.134880982;294.5741188;-2.083844166;8.41105465;-0.004283488;-7.47231E-05;
157.685;7.685;6;6;1;1;1;-52.93107692;32.66910791;-43.95814955;-2.132210881;291.7926752;-2.081237896;8.412833848;-0.005568266;-9.71353E-05;
157.6875;7.6875;6;6;1;1;1;-52.92857799;32.3127985;-43.95681649;-2.178459428;288.6102045;-2.126380818;8.415332773;-0.004235208;-7.38809E-05;
157.69;7.69;6;6;1;1;1;-52.92715642;32.13636637;-43.95434082;-2.096012235;287.0343548;-2.045904621;8.416754344;-0.001759529;-3.0694E-05;
157.725;7.725;6;6;1;1;1;-52.9241747;32.22278357;-43.95577043;-2.232789993;287.8062126;-2.179412548;8.419736066;-0.003189147;-5.56329E-05;
157.73;7.73;6;6;1;1;1;-52.92388412;32.24189997;-43.95517766;-2.070124261;287.9769558;-2.020635529;8.420026639;-0.002596378;-4.52924E-05;
157.7925;7.7925;6;6;1;1;1;-52.92145673;32.35664368;-43.95523131;-2.157021314;289.0018192;-2.105455207;8.422454038;-0.002650023;-4.62282E-05;
157.8725;7.8725;6;6;1;1;1;-52.91729036;32.46997595;-43.95471364;-2.148284577;290.014076;-2.096927332;8.426620403;-0.002132356;-3.71978E-05;
157.965;7.965;6;6;1;1;1;-52.91409406;32.5845933;-43.95618886;-2.142992802;291.0378108;-2.091762063;8.429816702;-0.003607571;-6.29321E-05;
158.0475;8.0475;6;6;1;1;1;-52.91108105;32.6973033;-43.95399481;-2.14806851;292.0445096;-2.09671643;8.432829717;-0.001413524;-2.46581E-05;
158.1275;8.1275;6;6;1;1;1;-52.90796074;32.80997753;-43.95338327;-2.150013112;293.050889;-2.098614544;8.435950021;-0.00080198;-1.39901E-05;
158.2075;8.2075;6;6;1;1;1;-52.90466163;32.9246974;-43.95190805;-2.134383656;294.0755395;-2.083358729;8.439249138;0.000673234;1.17442E-05;
158.2875;8.2875;6;6;1;1;1;-52.90073219;33.0371356;-43.95311773;-2.164985053;295.0798107;-2.113228564;8.443178574;-0.000536442;-9.35793E-06;
158.3875;8.3875;6;6;1;1;1;-52.89577457;33.14974785;-43.95500332;-2.156591043;296.0856364;-2.105035222;8.448136191;-0.002422035;-4.22511E-05;
158.4975;8.4975;6;6;1;1;1;-52.88838509;32.88792849;-43.95709276;-2.191731706;293.7471283;-2.139335807;8.455525677;-0.004511476;-7.87002E-05;
158.5;8.5;6;6;1;1;1;-52.88633767;32.60213137;-43.95570874;-2.119578421;291.1944567;-2.06890743;8.457573097;-0.003127456;-5.45567E-05;
158.5025;8.5025;6;6;1;1;1;-52.88489374;32.35558271;-43.95622104;-2.036820166;288.9923429;-1.988127607;8.459017019;-0.003639758;-6.34935E-05;
158.625;8.625;6;6;1;1;1;-52.87694546;32.46998549;-43.95936996;-2.009805292;290.0141612;-1.961758555;8.466965299;-0.006788671;-0.000118425;
158.7225;8.7225;6;6;1;1;1;-52.87302944;32.58394241;-43.95917416;-2.032419667;291.0319973;-1.983832307;8.470881324;-0.00659287;-0.000115009;
158.8025;8.8025;6;6;1;1;1;-52.86993596;32.69895315;-43.95505965;-2.03780178;292.0592457;-1.989085755;8.473974805;-0.002478361;-4.32336E-05;
158.8925;8.8925;6;6;1;1;1;-52.86613616;32.81363249;-43.9545849;-2.08104495;293.0835342;-2.031295146;8.477774602;-0.00200361;-3.49519E-05;
158.97;8.97;6;6;1;1;1;-52.86271188;32.92736769;-43.95440519;-2.087141387;294.0993898;-2.037245841;8.481198889;-0.001823902;-3.1817E-05;
159.0625;9.0625;6;6;1;1;1;-52.85940382;33.03966999;-43.95401359;-2.047109418;295.1024472;-1.998170882;8.484506946;-0.0014323;-2.49857E-05;
159.1625;9.1625;6;6;1;1;1;-52.85487535;33.15515518;-43.95395458;-2.08733324;296.1339334;-2.037433107;8.48903541;-0.001373291;-2.39563E-05;
159.29;9.29;6;6;1;1;1;-52.84685108;32.87052393;-43.95481557;-2.059580758;293.591675;-2.010344081;8.497059685;-0.00223428;-3.89758E-05;
159.2925;9.2925;6;6;1;1;1;-52.84471872;32.53036261;-43.95489067;-2.041401342;290.5534352;-1.992599265;8.499192041;-0.002309382;-4.02859E-05;
159.295;9.295;6;6;1;1;1;-52.84321669;32.29315042;-43.9550972;-2.065449953;288.4347126;-2.016072966;8.500694078;-0.002515912;-4.38887E-05;
159.45;9.45;6;6;1;1;1;-52.8338826;32.49947309;-43.95625591;-2.049569041;290.2775375;-2.000571705;8.510028166;-0.003674626;-6.41018E-05;
159.5325;9.5325;6;6;1;1;1;-52.83064159;32.61378527;-43.95345032;-2.031029202;291.2985465;-1.982475083;8.513269169;-0.000869036;-1.51598E-05;
159.605;9.605;6;6;1;1;1;-52.82798174;32.72681475;-43.95576239;-2.024640329;292.3080988;-1.976238944;8.515929026;-0.0031811;-5.54925E-05;
159.685;9.685;6;6;1;1;1;-52.82478097;32.84197569;-43.95684332;-2.040853724;293.3366889;-1.992064738;8.519129796;-0.00426203;-7.43487E-05;
159.7675;9.7675;6;6;1;1;1;-52.82120469;32.95562744;-43.95561218;-2.063925378;294.3517992;-2.014584838;8.522706075;-0.003030896;-5.28723E-05;
159.8525;9.8525;6;6;1;1;1;-52.81725737;33.06771994;-43.9551723;-2.085045911;295.3529826;-2.03520046;8.526653392;-0.002591014;-4.51988E-05;
159.9625;9.9625;6;6;1;1;1;-52.81233999;33.18255901;-43.95447493;-2.072331496;296.3786979;-2.022789997;8.531570776;-0.00189364;-3.30335E-05;
160.1125;10.1125;6;6;1;1;1;-52.80358705;33.01742554;-43.95408332;-2.149546519;294.9037651;-2.098159105;8.540323718;-0.001502037;-2.62022E-05;
160.115;10.115;6;6;1;1;1;-52.80208948;32.82727242;-43.95483166;-2.103112638;293.2053628;-2.052835281;8.541821285;-0.002250373;-3.92565E-05;
160.1175;10.1175;6;6;1;1;1;-52.80007335;32.61365414;-43.954373;-1.996013336;291.2973753;-1.948296312;8.543837412;-0.001791716;-3.12555E-05;
160.12;10.12;6;6;1;1;1;-52.79868754;32.4806571;-43.95492554;-2.018442377;290.1094775;-1.970189161;8.54522322;-0.002344251;-4.08942E-05;
160.1425;10.1425;6;6;1;1;1;-52.79672953;32.4292016;-43.95732611;-1.92814786;289.6498893;-1.882053239;8.547181233;-0.004744828;-8.27709E-05;
160.1475;10.1475;6;6;1;1;1;-52.79611262;32.43777275;-43.95626128;-2.113274299;289.7264447;-2.062754015;8.547798141;-0.003679991;-6.41954E-05;
160.2275;10.2275;6;6;1;1;1;-52.79278221;32.55542517;-43.95252228;-2.087103203;290.777288;-2.03720857;8.551128551;5.90086E-05;1.02937E-06;
160.3075;10.3075;6;6;1;1;1;-52.78938922;32.6711154;-43.95733148;-2.123715356;291.8106056;-2.072945467;8.554521545;-0.004750192;-8.28645E-05;
160.3875;10.3875;6;6;1;1;1;-52.78624209;32.78332233;-43.95507306;-2.0482447;292.8128111;-1.999279024;8.557668671;-0.002491772;-4.34676E-05;
160.465;10.465;6;6;1;1;1;-52.7828044;32.89718628;-43.95715177;-2.075132914;293.8298167;-2.025524444;8.561106369;-0.004570484;-7.97296E-05;
160.555;10.555;6;6;1;1;1;-52.7787632;33.01191807;-43.95464927;-2.066041343;294.8545737;-2.016650218;8.565147564;-0.002067983;-3.60748E-05;
160.6425;10.6425;6;6;1;1;1;-52.77525845;33.12610149;-43.95718396;-2.083209343;295.8744328;-2.033407797;8.568652317;-0.004602671;-8.0291E-05;
160.7275;10.7275;6;6;1;1;1;-52.77093115;33.19279194;-43.96083444;-2.097932622;296.4700959;-2.047779099;8.572979614;-0.008253157;-0.000143972;
160.755;10.755;6;6;1;1;1;-52.76962134;33.20589066;-43.9570874;-2.073593438;296.5870905;-2.024021771;8.574289426;-0.004506111;-7.86066E-05;
160.815;10.815;6;6;1;1;1;-52.76580813;33.06332588;-43.95645171;-2.128327265;295.313736;-2.077447123;8.578102634;-0.003870428;-6.75175E-05;
160.82;10.82;6;6;1;1;1;-52.76500347;32.94645548;-43.95648122;-2.149982378;294.2698774;-2.098584545;8.578907296;-0.003899932;-6.80321E-05;
160.825;10.825;6;6;1;1;1;-52.76347461;32.76284456;-43.95629346;-2.138877288;292.6299086;-2.087744934;8.580436156;-0.003712177;-6.47569E-05;
160.83;10.83;6;6;1;1;1;-52.76216033;32.62285471;-43.95317674;-2.100199461;291.3795526;-2.049991746;8.581750438;-0.00059545;-1.03873E-05;
160.9625;10.9625;6;6;1;1;1;-52.75436404;32.73858786;-43.95651072;-2.131065354;292.4132535;-2.080119754;8.589546726;-0.003929436;-6.85468E-05;
161.0525;11.0525;6;6;1;1;1;-52.75093081;32.85354853;-43.9538902;-2.141281962;293.4400547;-2.090092123;8.592979954;-0.001308918;-2.28333E-05;
161.1375;11.1375;6;6;1;1;1;-52.74716231;32.96695471;-43.95615935;-2.144947648;294.4529717;-2.093670176;8.596748458;-0.003578067;-6.24174E-05;
